condition_id,a,c,eta,regime,policy,p_ever_unstable,p_ever_unstable_low,p_ever_unstable_high,median_first_instability,mean_terminal_psi,sem_terminal_psi,mean_intervention_rate
2,0.15,0.03,0.31653707865168534,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.05367209468453954,0.0004935526088909381,0.4345833333333333
2,0.15,0.03,0.31653707865168534,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,102.0,-0.04810032674780629,0.000205995042507738,0.0
2,0.15,0.03,0.31653707865168534,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.04159783064089146,0.00019713592444268733,0.4333333333333334
2,0.15,0.03,0.27653707865168536,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.10493036078475841,0.00044902767251376035,0.42444444444444435
2,0.15,0.03,0.27653707865168536,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.019999861111247356,0.0002012612848285716,0.0
2,0.15,0.03,0.27653707865168536,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10749833123562605,0.0001839428969880206,0.4249999999999999
3,0.15,0.05,0.28739446707551813,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.053992814798078895,0.00045073666236035854,0.4391388888888889
3,0.15,0.05,0.28739446707551813,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,103.0,-0.048218412297742146,0.0001930763985815219,0.0
3,0.15,0.05,0.28739446707551813,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.043455616355722926,0.00021208808436459897,0.4416666666666666
3,0.15,0.05,0.24739446707551815,threshold_adjacent,adaptive,0.0,0.0,0.012642971224546036,,0.105249940586523,0.0004296683214573006,0.4271111111111111
3,0.15,0.05,0.24739446707551815,threshold_adjacent,passive,0.0,0.0,0.012642971224546036,,0.020456507209956527,0.0002135039853139372,0.0
3,0.15,0.05,0.24739446707551815,threshold_adjacent,scheduled,0.0,0.0,0.012642971224546036,,0.10675837133192156,0.00020672114405766292,0.4249999999999999
4,0.2,0.01,0.26863359824609484,stressed,adaptive,0.0,0.0,0.012642971224546036,,0.054465211310221855,0.0004744183505204624,0.43858333333333327
4,0.2,0.01,0.26863359824609484,stressed,passive,1.0,0.9873570287754538,0.9999999999999998,102.0,-0.04892856381049023,0.00019144218692376534,0.0
4,0.2,0.01,0.26863359824609484,stressed,scheduled,0.0,0.0,0.012642971224546036,,0.042312430238143336,0.00020642141807759452,0.4416666666666666
